[29/04/2022 16:57:43 - INFO] Discord Presence activated
[29/04/2022 16:57:43 - INFO] Creating discord-rpc client
[29/04/2022 16:57:44 - INFO] Successfully connected to Discord
[29/04/2022 16:57:44 - DEBUG] Loading git extension
[29/04/2022 16:57:44 - TRACE] Git extension not activated, activating...
[29/04/2022 16:57:44 - DEBUG] Loading git extension
[29/04/2022 16:57:44 - TRACE] Git extension not activated, activating...
[29/04/2022 16:57:44 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:14 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:16 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:18 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:20 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:23 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:25 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:28 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:30 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:32 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:34 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:37 - TRACE] VSCode language id: javascript
[29/04/2022 17:00:39 - TRACE] VSCode language id: javascript
[29/04/2022 17:04:25 - TRACE] VSCode language id: javascript
[29/04/2022 17:04:27 - TRACE] VSCode language id: javascript
[29/04/2022 17:04:30 - TRACE] VSCode language id: javascript
[29/04/2022 17:04:32 - TRACE] VSCode language id: javascript
[29/04/2022 17:04:47 - TRACE] VSCode language id: javascript
[29/04/2022 17:04:49 - TRACE] VSCode language id: javascript
[29/04/2022 17:08:19 - TRACE] VSCode language id: javascript
[29/04/2022 17:08:21 - TRACE] VSCode language id: javascript
[29/04/2022 17:08:24 - TRACE] VSCode language id: javascript
[29/04/2022 17:08:24 - TRACE] VSCode language id: javascript
[29/04/2022 17:08:26 - TRACE] VSCode language id: javascript
[29/04/2022 17:08:28 - TRACE] VSCode language id: javascript
[29/04/2022 17:08:59 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:01 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:03 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:06 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:08 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:10 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:12 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:14 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:16 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:53 - TRACE] VSCode language id: json
[29/04/2022 17:09:54 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:54 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:57 - TRACE] VSCode language id: javascript
[29/04/2022 17:09:59 - TRACE] VSCode language id: javascript
[29/04/2022 17:10:09 - TRACE] VSCode language id: javascript
[29/04/2022 17:10:15 - TRACE] VSCode language id: javascript
[29/04/2022 17:10:17 - TRACE] VSCode language id: javascript
[29/04/2022 17:10:18 - TRACE] VSCode language id: javascript
[29/04/2022 17:10:20 - TRACE] VSCode language id: javascript
[29/04/2022 17:10:22 - TRACE] VSCode language id: javascript
[29/04/2022 17:10:24 - TRACE] VSCode language id: javascript
[29/04/2022 17:39:20 - TRACE] VSCode language id: javascript
[29/04/2022 17:39:22 - TRACE] VSCode language id: javascript
[29/04/2022 17:39:24 - TRACE] VSCode language id: javascript
[29/04/2022 17:39:26 - TRACE] VSCode language id: javascript
[29/04/2022 17:39:28 - TRACE] VSCode language id: javascript
